ID;EPC;Resultado;ID_Inventario;Ubicacion;CodigoArticulo;Fecha_lectura
4411;E2801191A504006D1C866E4B;Ok;39;P02009001;142185;2025-01-30 11:23:02
4417;E2801191A504006D1C8629EB;Ok;39;P02009001;169471;2025-01-30 11:23:02
4490;E2801191A504006D1C85D8AB;Ok;39;P02009001;43848;2025-01-30 11:23:03
4409;E2801191A504006D1C866E6B;Ok;39;P02009001;132181;2025-01-30 11:23:05
4402;E2801191A504006D1C866EDB;Ok;39;P02009001;120725;2025-01-30 11:23:05
4321;E2801191A504006D1C85D81A;Ok;39;P02009001;43914;2025-01-30 11:23:05
4403;E2801191A504006D1C866ECB;Ok;39;P02009001;120458;2025-01-30 11:23:06
4401;E2801191A504006D1C866EEB;Ok;39;P02009001;117007;2025-01-30 11:23:06
4408;E2801191A504006D1C866E7B;Ok;39;P02009001;129232;2025-01-30 11:23:06
4439;E2801191A504006D1C86D3CB;Ok;39;P02009001;43659;2025-01-30 11:23:06
4479;E2801191A504006D1C85E48B;Ok;39;P02009001;43659;2025-01-30 11:23:06
4485;E2801191A504006D1C85E42B;Ok;39;P02009001;43765;2025-01-30 11:23:06
4480;E2801191A504006D1C85E47B;Ok;39;P02009001;43536;2025-01-30 11:23:07
4489;E2801191A504006D1C85D8BB;Ok;39;P02009001;43845;2025-01-30 11:23:07
4429;E2801191A504006D1C86292B;Ok;39;P02009001;183513;2025-01-30 11:23:07
4323;E2801191A504006D1C85D83A;Ok;39;P02009001;43768;2025-01-30 11:23:07
4318;E2801191A504006D1C85D82B;Ok;39;P02009001;127387;2025-01-30 11:23:08
4397;E2801191A504006D1C86D32B;Ok;39;P02009001;87312;2025-01-30 11:23:08
4395;E2801191A504006D1C86D34B;Ok;39;P02009001;66479;2025-01-30 11:23:08
4482;E2801191A504006D1C85E45B;Ok;39;P02009001;43739;2025-01-30 11:23:08
4483;E2801191A504006D1C85E44B;Ok;39;P02009001;43752;2025-01-30 11:23:08
4484;E2801191A504006D1C85E43B;Ok;39;P02009001;43759;2025-01-30 11:23:08
4435;E2801191A504006D1C85E4CB;Ok;39;P02009001;43872;2025-01-30 11:23:08
4404;E2801191A504006D1C866EBB;Ok;39;P02009001;121063;2025-01-30 11:23:09
4430;E2801191A504006D1C86291B;Ok;39;P02009001;193902;2025-01-30 11:23:09
4325;E2801191A504006D1C85D85A;Ok;39;P02009001;135671;2025-01-30 11:23:09
4322;E2801191A504006D1C85D82A;Ok;39;P02009001;43536;2025-01-30 11:23:10
4420;E2801191A504006D1C8629BB;Ok;39;P02009001;172006;2025-01-30 11:23:10
4440;E2801191A504006D1C86D3BB;Ok;39;P02009001;43752;2025-01-30 11:23:10
4496;E2801191A504006D1C85D83B;Ok;39;P02009001;127383;2025-01-30 11:23:11
4326;E2801191A504006D1C85D86A;Ok;39;P02009001;172007;2025-01-30 11:23:13
4413;E2801191A504006D1C866E2B;Ok;39;P02009001;157463;2025-01-30 11:23:14
4495;E2801191A504006D1C85D84B;Ok;39;P02009001;127348;2025-01-30 11:23:25
4432;E2801191A504006D1C85E4FB;Ok;39;P02009001;43055;2025-01-30 11:23:27
4438;E2801191A504006D1C86D3DB;Ok;39;P02009001;43658;2025-01-30 11:23:29
4410;E2801191A504006D1C866E5B;Ok;39;P02009001;137228;2025-01-30 11:23:29
4412;E2801191A504006D1C866E3B;Ok;39;P02009001;154858;2025-01-30 11:23:29
4393;E2801191A504006D1C86D36B;Ok;39;P02009001;55640;2025-01-30 11:23:29
4320;E2801191A504006D1C85D80A;Ok;39;P02009001;154506;2025-01-30 11:23:29
4407;E2801191A504006D1C866E8B;Ok;39;P02009001;120373;2025-01-30 11:23:30
4441;E2801191A504006D1C86D3AB;Ok;39;P02009001;43768;2025-01-30 11:23:30
4493;E2801191A504006D1C85D86B;Ok;39;P02009001;44602;2025-01-30 11:23:31
4399;E2801191A504006D1C86D30B;Ok;39;P02009001;44283;2025-01-30 11:23:31
4419;E2801191A504006D1C8629CB;Ok;39;P02009001;170389;2025-01-30 11:23:31
4418;E2801191A504006D1C8629DB;Ok;39;P02009001;171769;2025-01-30 11:23:32
4422;E2801191A504006D1C86299B;Ok;39;P02009001;178085;2025-01-30 11:23:32
4428;E2801191A504006D1C86293B;Ok;39;P02009001;181891;2025-01-30 11:23:32
4437;E2801191A504006D1C85E4AB;Ok;39;P02009001;43888;2025-01-30 11:23:32
4442;E2801191A504006D1C86D39B;Ok;39;P02009001;43844;2025-01-30 11:23:33
4423;E2801191A504006D1C86298B;Ok;39;P02009001;177036;2025-01-30 11:23:33
4424;E2801191A504006D1C86297B;Ok;39;P02009001;178732;2025-01-30 11:23:33
4366;E2801191A504006D1C86D30A;Ok;39;P02009002;167062;2025-01-30 11:23:34
4357;E2801191A504006D1C866E7A;Ok;39;P02009002;127349;2025-01-30 11:23:35
4359;E2801191A504006D1C866E9A;Ok;39;P02009002;127352;2025-01-30 11:23:35
4374;E2801191A504006D1C85E42A;Ok;39;P02009002;91611;2025-01-30 11:23:35
4431;E2801191A504006D1C86290B;Ok;39;P02009001;194620;2025-01-30 11:23:35
4341;E2801191A504006D1C86296A;Ok;39;P02009002;173367;2025-01-30 11:23:35
4346;E2801191A504006D1C8629BA;Ok;39;P02009002;194626;2025-01-30 11:23:35
