ID;EPC;Resultado;ID_Inventario;Ubicacion;CodigoArticulo;Fecha_lectura
3526;E2801191A504006D1C866E2B;Ok;36;P02009001;157463;2025-01-30 11:11:36
3431;E2801191A504006D1C85D82B;Ok;36;P02009001;127387;2025-01-30 11:11:49
3439;E2801191A504006D1C85D86A;Ok;36;P02009001;172007;2025-01-30 11:11:51
3534;E2801191A504006D1C8629AB;Ok;36;P02009001;172007;2025-01-30 11:11:51
3517;E2801191A504006D1C866EBB;Ok;36;P02009001;121063;2025-01-30 11:11:52
3533;E2801191A504006D1C8629BB;Ok;36;P02009001;172006;2025-01-30 11:12:00
3553;E2801191A504006D1C86D3BB;Ok;36;P02009001;43752;2025-01-30 11:12:02
3609;E2801191A504006D1C85D83B;Ok;36;P02009001;127383;2025-01-30 11:12:02
3543;E2801191A504006D1C86291B;Ok;36;P02009001;193902;2025-01-30 11:12:03
3435;E2801191A504006D1C85D82A;Ok;36;P02009001;43536;2025-01-30 11:12:03
3438;E2801191A504006D1C85D85A;Ok;36;P02009001;135671;2025-01-30 11:12:06
3608;E2801191A504006D1C85D84B;Ok;36;P02009001;127348;2025-01-30 11:12:20
3595;E2801191A504006D1C85E45B;Ok;36;P02009001;43739;2025-01-30 11:12:21
3597;E2801191A504006D1C85E43B;Ok;36;P02009001;43759;2025-01-30 11:12:21
3598;E2801191A504006D1C85E42B;Ok;36;P02009001;43765;2025-01-30 11:12:21
3508;E2801191A504006D1C86D34B;Ok;36;P02009001;66479;2025-01-30 11:12:21
3516;E2801191A504006D1C866ECB;Ok;36;P02009001;120458;2025-01-30 11:12:22
3433;E2801191A504006D1C85D80A;Ok;36;P02009001;154506;2025-01-30 11:12:22
3545;E2801191A504006D1C85E4FB;Ok;36;P02009001;43055;2025-01-30 11:12:39
3538;E2801191A504006D1C86296B;Ok;36;P02009001;178698;2025-01-30 11:12:49
3540;E2801191A504006D1C86294B;Ok;36;P02009001;178861;2025-01-30 11:12:49
3506;E2801191A504006D1C86D36B;Ok;36;P02009001;55640;2025-01-30 11:12:49
3510;E2801191A504006D1C86D32B;Ok;36;P02009001;87312;2025-01-30 11:12:50
3525;E2801191A504006D1C866E3B;Ok;36;P02009001;154858;2025-01-30 11:12:51
3539;E2801191A504006D1C86295B;Ok;36;P02009001;178840;2025-01-30 11:12:51
3548;E2801191A504006D1C85E4CB;Ok;36;P02009001;43872;2025-01-30 11:12:51
3602;E2801191A504006D1C85D8BB;Ok;36;P02009001;43845;2025-01-30 11:12:52
3596;E2801191A504006D1C85E44B;Ok;36;P02009001;43752;2025-01-30 11:12:52
3593;E2801191A504006D1C85E47B;Ok;36;P02009001;43536;2025-01-30 11:12:52
3521;E2801191A504006D1C866E7B;Ok;36;P02009001;129232;2025-01-30 11:12:52
3522;E2801191A504006D1C866E6B;Ok;36;P02009001;132181;2025-01-30 11:12:53
3530;E2801191A504006D1C8629EB;Ok;36;P02009001;169471;2025-01-30 11:12:54
3552;E2801191A504006D1C86D3CB;Ok;36;P02009001;43659;2025-01-30 11:12:54
3542;E2801191A504006D1C86292B;Ok;36;P02009001;183513;2025-01-30 11:12:54
3592;E2801191A504006D1C85E48B;Ok;36;P02009001;43659;2025-01-30 11:12:55
3531;E2801191A504006D1C8629DB;Ok;36;P02009001;171769;2025-01-30 11:12:55
3529;E2801191A504006D1C8629FB;Ok;36;P02009001;169470;2025-01-30 11:12:55
3515;E2801191A504006D1C866EDB;Ok;36;P02009001;120725;2025-01-30 11:12:55
3524;E2801191A504006D1C866E4B;Ok;36;P02009001;142185;2025-01-30 11:12:55
