ID;EPC;Resultado;ID_Inventario;Ubicacion;CodigoArticulo;Fecha_lectura
4185;E2801191A504006D1C85E47B;Ok;38;P02009001;43536;2025-01-30 11:31:02
4201;E2801191A504006D1C85D83B;Ok;38;P02009001;127383;2025-01-30 11:31:03
4023;E2801191A504006D1C85D82B;Ok;38;P02009001;127387;2025-01-30 11:31:04
4102;E2801191A504006D1C86D32B;Ok;38;P02009001;87312;2025-01-30 11:31:04
4125;E2801191A504006D1C8629BB;Ok;38;P02009001;172006;2025-01-30 11:31:08
4145;E2801191A504006D1C86D3BB;Ok;38;P02009001;43752;2025-01-30 11:31:09
4109;E2801191A504006D1C866EBB;Ok;38;P02009001;121063;2025-01-30 11:31:09
4118;E2801191A504006D1C866E2B;Ok;38;P02009001;157463;2025-01-30 11:31:10
4031;E2801191A504006D1C85D86A;Ok;38;P02009001;172007;2025-01-30 11:31:19
4126;E2801191A504006D1C8629AB;Ok;38;P02009001;172007;2025-01-30 11:31:20
4135;E2801191A504006D1C86291B;Ok;38;P02009001;193902;2025-01-30 11:31:21
4187;E2801191A504006D1C85E45B;Ok;38;P02009001;43739;2025-01-30 11:31:21
4025;E2801191A504006D1C85D80A;Ok;38;P02009001;154506;2025-01-30 11:31:21
4100;E2801191A504006D1C86D34B;Ok;38;P02009001;66479;2025-01-30 11:31:22
4188;E2801191A504006D1C85E44B;Ok;38;P02009001;43752;2025-01-30 11:31:22
4137;E2801191A504006D1C85E4FB;Ok;38;P02009001;43055;2025-01-30 11:31:22
4140;E2801191A504006D1C85E4CB;Ok;38;P02009001;43872;2025-01-30 11:31:22
4121;E2801191A504006D1C8629FB;Ok;38;P02009001;169470;2025-01-30 11:31:22
4108;E2801191A504006D1C866ECB;Ok;38;P02009001;120458;2025-01-30 11:31:23
4134;E2801191A504006D1C86292B;Ok;38;P02009001;183513;2025-01-30 11:31:23
4144;E2801191A504006D1C86D3CB;Ok;38;P02009001;43659;2025-01-30 11:31:23
4194;E2801191A504006D1C85D8BB;Ok;38;P02009001;43845;2025-01-30 11:31:23
4110;E2801191A504006D1C866EAB;Ok;38;P02009001;119623;2025-01-30 11:31:23
4114;E2801191A504006D1C866E6B;Ok;38;P02009001;132181;2025-01-30 11:31:23
4098;E2801191A504006D1C86D36B;Ok;38;P02009001;55640;2025-01-30 11:31:23
4097;E2801191A504006D1C86D37B;Ok;38;P02009001;54264;2025-01-30 11:31:24
4115;E2801191A504006D1C866E5B;Ok;38;P02009001;137228;2025-01-30 11:31:24
4117;E2801191A504006D1C866E3B;Ok;38;P02009001;154858;2025-01-30 11:31:24
4028;E2801191A504006D1C85D83A;Ok;38;P02009001;43768;2025-01-30 11:31:24
4191;E2801191A504006D1C85E41B;Ok;38;P02009001;43768;2025-01-30 11:31:24
4143;E2801191A504006D1C86D3DB;Ok;38;P02009001;43658;2025-01-30 11:31:24
4131;E2801191A504006D1C86295B;Ok;38;P02009001;178840;2025-01-30 11:31:24
4130;E2801191A504006D1C86296B;Ok;38;P02009001;178698;2025-01-30 11:31:25
4106;E2801191A504006D1C866EEB;Ok;38;P02009001;117007;2025-01-30 11:31:25
4112;E2801191A504006D1C866E8B;Ok;38;P02009001;120373;2025-01-30 11:31:26
4024;E2801191A504006D1C85D80B;Ok;38;P02009001;155156;2025-01-30 11:31:26
4133;E2801191A504006D1C86293B;Ok;38;P02009001;181891;2025-01-30 11:31:26
4136;E2801191A504006D1C86290B;Ok;38;P02009001;194620;2025-01-30 11:31:26
4123;E2801191A504006D1C8629DB;Ok;38;P02009001;171769;2025-01-30 11:31:26
4124;E2801191A504006D1C8629CB;Ok;38;P02009001;170389;2025-01-30 11:31:26
4146;E2801191A504006D1C86D3AB;Ok;38;P02009001;43768;2025-01-30 11:31:26
4196;E2801191A504006D1C85D89B;Ok;38;P02009001;47241;2025-01-30 11:31:27
4141;E2801191A504006D1C85E4BB;Ok;38;P02009001;43875;2025-01-30 11:31:27
4094;E2801191A504006D1C86291A;Ok;38;P02009002;144740;2025-01-30 11:31:27
4064;E2801191A504006D1C866E9A;Ok;38;P02009002;127352;2025-01-30 11:31:28
4079;E2801191A504006D1C85E42A;Ok;38;P02009002;91611;2025-01-30 11:31:28
4147;E2801191A504006D1C86D39B;Ok;38;P02009001;43844;2025-01-30 11:31:28
4077;E2801191A504006D1C878E4A;Ok;38;P02009002;50413;2025-01-30 11:31:29
4066;E2801191A504006D1C866EBA;Ok;38;P02009002;143303;2025-01-30 11:31:29
4042;E2801191A504006D1C878E6A;Ok;38;P02009002;50442;2025-01-30 11:31:29
4046;E2801191A504006D1C86296A;Ok;38;P02009002;173367;2025-01-30 11:31:29
3970;E2801191A504006D1C878EAA;Ok;38;P02009002;118421;2025-01-30 11:31:29
3971;E2801191A504006D1C878EBA;Ok;38;P02009002;118357;2025-01-30 11:31:30
4033;E2801191A504006D1C85D88A;Ok;38;P02009002;50405;2025-01-30 11:31:30
4048;E2801191A504006D1C86298A;Ok;38;P02009002;178543;2025-01-30 11:31:30
4059;E2801191A504006D1C866E3A;Ok;38;P02009002;82147;2025-01-30 11:31:30
4072;E2801191A504006D1C86D31A;Ok;38;P02009002;164712;2025-01-30 11:31:30
4049;E2801191A504006D1C86299A;Ok;38;P02009002;178593;2025-01-30 11:31:31
4050;E2801191A504006D1C8629AA;Ok;38;P02009002;181342;2025-01-30 11:31:31
4052;E2801191A504006D1C8629CA;Ok;38;P02009002;193898;2025-01-30 11:31:32
4068;E2801191A504006D1C866EDA;Ok;38;P02009002;155466;2025-01-30 11:31:32
3969;E2801191A504006D1C878E9A;Ok;38;P02009002;66447;2025-01-30 11:31:32
