ID;EPC;Resultado;ID_Inventario;Ubicacion;CodigoArticulo;Fecha_lectura
6649;E2801191A504006D1C866ECB;Ok;45;P02009001;120458;2025-01-30 11:38:37
6684;E2801191A504006D1C86D3BB;Ok;45;P02009001;43752;2025-01-30 11:38:38
6723;E2801191A504006D1C85E47B;Ok;45;P02009001;43536;2025-01-30 11:38:38
6727;E2801191A504006D1C85E43B;Ok;45;P02009001;43759;2025-01-30 11:38:38
6739;E2801191A504006D1C85D83B;Ok;45;P02009001;127383;2025-01-30 11:38:39
6666;E2801191A504006D1C8629BB;Ok;45;P02009001;172006;2025-01-30 11:38:39
6566;E2801191A504006D1C85D82B;Ok;45;P02009001;127387;2025-01-30 11:38:39
6570;E2801191A504006D1C85D82A;Ok;45;P02009001;43536;2025-01-30 11:38:39
6650;E2801191A504006D1C866EBB;Ok;45;P02009001;121063;2025-01-30 11:38:41
6659;E2801191A504006D1C866E2B;Ok;45;P02009001;157463;2025-01-30 11:38:44
6574;E2801191A504006D1C85D86A;Ok;45;P02009001;172007;2025-01-30 11:38:52
6573;E2801191A504006D1C85D85A;Ok;45;P02009001;135671;2025-01-30 11:38:54
6667;E2801191A504006D1C8629AB;Ok;45;P02009001;172007;2025-01-30 11:38:54
6738;E2801191A504006D1C85D84B;Ok;45;P02009001;127348;2025-01-30 11:38:54
6725;E2801191A504006D1C85E45B;Ok;45;P02009001;43739;2025-01-30 11:38:55
6676;E2801191A504006D1C85E4FB;Ok;45;P02009001;43055;2025-01-30 11:39:00
6674;E2801191A504006D1C86291B;Ok;45;P02009001;193902;2025-01-30 11:39:00
6670;E2801191A504006D1C86295B;Ok;45;P02009001;178840;2025-01-30 11:39:01
6641;E2801191A504006D1C86D34B;Ok;45;P02009001;66479;2025-01-30 11:39:01
6643;E2801191A504006D1C86D32B;Ok;45;P02009001;87312;2025-01-30 11:39:01
6679;E2801191A504006D1C85E4CB;Ok;45;P02009001;43872;2025-01-30 11:39:01
6726;E2801191A504006D1C85E44B;Ok;45;P02009001;43752;2025-01-30 11:39:02
6728;E2801191A504006D1C85E42B;Ok;45;P02009001;43765;2025-01-30 11:39:02
6732;E2801191A504006D1C85D8BB;Ok;45;P02009001;43845;2025-01-30 11:39:02
6568;E2801191A504006D1C85D80A;Ok;45;P02009001;154506;2025-01-30 11:39:06
6683;E2801191A504006D1C86D3CB;Ok;45;P02009001;43659;2025-01-30 11:39:07
6663;E2801191A504006D1C8629EB;Ok;45;P02009001;169471;2025-01-30 11:39:07
6654;E2801191A504006D1C866E7B;Ok;45;P02009001;129232;2025-01-30 11:39:07
6658;E2801191A504006D1C866E3B;Ok;45;P02009001;154858;2025-01-30 11:39:08
6722;E2801191A504006D1C85E48B;Ok;45;P02009001;43659;2025-01-30 11:39:08
6673;E2801191A504006D1C86292B;Ok;45;P02009001;183513;2025-01-30 11:39:09
6657;E2801191A504006D1C866E4B;Ok;45;P02009001;142185;2025-01-30 11:39:09
6655;E2801191A504006D1C866E6B;Ok;45;P02009001;132181;2025-01-30 11:39:10
