ID;EPC;Resultado;ID_Inventario;Ubicacion;CodigoArticulo;Fecha_lectura
8737;E2801191A504006D1C88A96B;Ok;56;P02010001;78028;2025-03-10 09:47:23
8749;E2801191A504006D1C878EEB;Ok;56;P02010001;196992;2025-03-10 09:47:25
8735;E2801191A504006D1C88A98B;Ok;56;P02010001;56821;2025-03-10 09:47:25
8713;E2801191A504006D1C88A9DB;Ok;56;P02010001;130219;2025-03-10 09:47:28
8705;E2801191A504006D1C88EE5B;Ok;56;P02010001;122566;2025-03-10 09:47:29
8712;E2801191A504006D1C88A9EB;Ok;56;P02010001;122578;2025-03-10 09:47:30
8707;E2801191A504006D1C88EE3B;Ok;56;P02010001;122568;2025-03-10 09:47:31
8708;E2801191A504006D1C88EE2B;Ok;56;P02010001;122569;2025-03-10 09:47:31
8709;E2801191A504006D1C88EE1B;Ok;56;P02010001;122575;2025-03-10 09:47:31
8710;E2801191A504006D1C88EE0B;Ok;56;P02010001;122576;2025-03-10 09:47:31
8711;E2801191A504006D1C88A9FB;Ok;56;P02010001;122577;2025-03-10 09:47:31
8704;E2801191A504006D1C88EE6B;Ok;56;P02010001;122565;2025-03-10 09:47:32
8706;E2801191A504006D1C88EE4B;Ok;56;P02010001;122567;2025-03-10 09:47:34
8717;E2801191A504006D1C8813FB;Ok;56;P02010001;120570;2025-03-10 09:47:35
8729;E2801191A504006D1C88133B;Ok;56;P02010001;57007;2025-03-10 09:47:36
8701;E2801191A504006D1C88EE9B;Ok;56;P02010001;120648;2025-03-10 09:47:36
8702;E2801191A504006D1C88EE8B;Ok;56;P02010001;120692;2025-03-10 09:47:38
8733;E2801191A504006D1C88A9AB;Ok;56;P02010001;168167;2025-03-10 09:47:38
8714;E2801191A504006D1C88A9CB;Ok;56;P02010001;168165;2025-03-10 09:47:38
8738;E2801191A504006D1C88A95B;Ok;56;P02010001;95195;2025-03-10 09:47:41
8700;E2801191A504006D1C88EEAB;Ok;56;P02010001;120645;2025-03-10 09:47:41
8703;E2801191A504006D1C88EE7B;Ok;56;P02010001;120709;2025-03-10 09:47:42
8715;E2801191A504006D1C88A9BB;Ok;56;P02010001;168166;2025-03-10 09:47:48
8728;E2801191A504006D1C88134B;Ok;56;P02010001;56791;2025-03-10 09:47:48
8725;E2801191A504006D1C88137B;Ok;56;P02010002;79627;2025-03-10 09:47:49
8693;E2801191A504006D1C88389B;Ok;56;P02010002;77354;2025-03-10 09:47:49
