ID;EPC;Resultado;ID_Inventario;Ubicacion;CodigoArticulo;Fecha_lectura
8273;E2801191A504006D1C8A6E5A;Ok;54;P02008001;123550;2025-03-10 09:56:46
8263;E2801191A504006D1C8A29BA;Ok;54;P02008001;177295;2025-03-10 09:56:47
8157;E2801191A504006D1C8E897A;Ok;54;P02008001;154640;2025-03-10 09:56:48
8254;E2801191A504006D1C8A291A;Ok;54;P02008001;143227;2025-03-10 09:56:50
8272;E2801191A504006D1C8A6E4A;Ok;54;P02008001;68406;2025-03-10 09:56:52
8152;E2801191A504006D1C89B88A;Ok;54;P02008001;69612;2025-03-10 09:56:53
8266;E2801191A504006D1C8A29EA;Ok;54;P02008001;182104;2025-03-10 09:56:54
8151;E2801191A504006D1C89B87A;Ok;54;P02008001;68406;2025-03-10 09:56:55
8256;E2801191A504006D1C8A294A;Ok;54;P02008001;154219;2025-03-10 09:56:59
8282;E2801191A504006D1C8A6EEA;Ok;54;P02008001;52125;2025-03-10 09:57:00
8283;E2801191A504006D1C8A6EFA;Ok;54;P02008001;52126;2025-03-10 09:57:01
8278;E2801191A504006D1C8A6EAA;Ok;54;P02008001;52121;2025-03-10 09:57:02
8262;E2801191A504006D1C8A29AA;Ok;54;P02008001;177294;2025-03-10 09:57:02
8279;E2801191A504006D1C8A6EBA;Ok;54;P02008001;52122;2025-03-10 09:57:03
8284;E2801191A504006D1C8AF30A;Ok;54;P02008001;52127;2025-03-10 09:57:03
8150;E2801191A504006D1C89B86A;Ok;54;P02008001;67766;2025-03-10 09:57:03
8286;E2801191A504006D1C8AF32A;Ok;54;P02008001;52132;2025-03-10 09:57:04
8233;E2801191A504006D1C89B8BA;Ok;54;P02008001;77349;2025-03-10 09:57:04
8240;E2801191A504006D1C89E43A;Ok;54;P02008001;94179;2025-03-10 09:57:04
8277;E2801191A504006D1C8A6E9A;Ok;54;P02008001;52120;2025-03-10 09:57:05
8153;E2801191A504006D1C89B82A;Ok;54;P02008001;52465;2025-03-10 09:57:05
8285;E2801191A504006D1C8AF31A;Ok;54;P02008001;52131;2025-03-10 09:57:06
8248;E2801191A504006D1C89E4BA;Ok;54;P02008001;117223;2025-03-10 09:57:06
8268;E2801191A504006D1C8A6E0A;Ok;54;P02008001;192388;2025-03-10 09:57:06
8257;E2801191A504006D1C8A295A;Ok;54;P02008001;164920;2025-03-10 09:57:07
8259;E2801191A504006D1C8A297A;Ok;54;P02008001;169993;2025-03-10 09:57:09
8253;E2801191A504006D1C8A290A;Ok;54;P02008001;142545;2025-03-10 09:57:09
8234;E2801191A504006D1C89B8CA;Ok;54;P02008001;77457;2025-03-10 09:57:09
8237;E2801191A504006D1C89E40A;Ok;54;P02008001;77569;2025-03-10 09:57:09
8156;E2801191A504006D1C89B84A;Ok;54;P02008001;57680;2025-03-10 09:57:09
8155;E2801191A504006D1C89B81A;Ok;54;P02008001;50147;2025-03-10 09:57:10
8147;E2801191A504006D1C8973FA;Ok;54;P02008001;43061;2025-03-10 09:57:10
8238;E2801191A504006D1C89E41A;Ok;54;P02008001;88548;2025-03-10 09:57:10
8249;E2801191A504006D1C89E4CA;Ok;54;P02008001;117226;2025-03-10 09:57:10
8288;E2801191A504006D1C8AF34A;Ok;54;P02008001;67915;2025-03-10 09:57:10
